Decade,Action,Adventure,Comedy,Crime,Drama,Romance,Thriller
1970-1979,6.458536585365855,6.517948717948718,6.511494252873563,7.06842105263158,6.783941605839415,6.39,6.755263157894738
1980-1989,5.986131386861313,6.199999999999996,6.008159722222225,6.183794466403161,6.387614678899086,6.146938775510202,6.064367816091954
1990-1999,5.950294117647061,6.1017937219730936,6.025841346153844,6.286161879895567,6.49520613614574,6.256363636363632,6.219083969465649
2000-2009,5.986332574031889,6.121779141104287,5.885905349794242,6.212740384615386,6.4388617886178965,6.097876447876451,6.172887323943666
2010-2019,6.088675623800376,6.3773006134969314,5.998007471980072,6.178378378378379,6.3365025466893,6.1251428571428574,5.8752906976744175
