Season,1980-1989,1990-1999,2000-2009,2010-2019
Autumn,6.169210526315786,6.312085769980508,6.180375426621163,6.1567092651757145
Spring,6.103426791277258,6.222903885480568,6.08398576512455,5.997430406852247
Summer,6.072222222222224,6.114105793450886,5.973727087576375,6.064785992217895
Winter,6.285396825396826,6.228940568475452,6.2937153419593335,6.261706783369805
