Season,1980-1989,1990-1999,2000-2009,2010-2019
Autumn,35540546.380763136,43122136.0579337,40510734.93841302,27964508.72428115
Spring,38764799.77591902,39750616.86783228,42435510.741832756,40002573.736959316
Summer,56341434.00898694,54273214.460277125,56713194.4108147,48916794.77373544
Winter,56963857.04295235,49061710.36622738,51738237.391608134,42890726.07827133
