IMDB ID,Title,Year,Date Published,Genre,Duration,Country,Language,Director,Writer,Production Company,Actors,Avg Rating,# of Ratings,Lifetime_Gross,Lifetime Gross - Adjusted ($),Decade
tt1091225,Emma Smith: My Story,2008,2008-04-11,"Biography, Drama, History",98,USA,English,"Gary Cook, T.C. Christensen",Gary Cook,Morning Dew Entertainment,"Patricia Place, Katherine Nelson, Nathan Mitchell, Stephanie Breinholt, Tayva Patch, Rick Macy, Dallyn Vail Bayles, Cheryl Kirby, Kalvin Stringer, Bob Nelson, Rosanna Ungerman, Duff Clawson, Ryan Wood, Joy Gardner, Talon G. Ackerman",6.7,301,"$881,787.00","$1,028,424.54",2000-2009
tt1091229,Chandni Chowk to China,2009,2009-01-16,"Action, Comedy",154,"India, USA","Hindi, Cantonese, English",Nikkhil Advani,"Rajat Arora, Bohemia",Warner Bros.,"Mithun Chakraborty, Akshay Kumar, Deepika Padukone, Ranvir Shorey, Roger Yuan, Chia-Hui Liu, Tang Tang Fei, Conan Stevens, Kevin Wu, Chang En Lu, Jun Li, Jek, Gauravv K. Chawla, Ina Vohra, Rajesh",4.0,7273,"$921,738.00","$1,078,857.56",2000-2009
tt1091722,Adventureland,2009,2009-09-11,"Comedy, Drama, Romance",107,USA,English,Greg Mottola,Greg Mottola,Miramax,"Jesse Eisenberg, Kelsey Ledgin, Michael Zegen, Ryan McFarland, Jack Gilpin, Wendie Malick, Matt Bush, Todd Cioppa, Stephen Mast, Kristen Wiig, Bill Hader, Martin Starr, Adam Kroloff, Kristen Stewart, Kevin Breznahan",6.8,148104,"$16,044,025.00","$18,778,891.22",2000-2009
tt1091751,The Longshots,2008,2008-08-22,"Biography, Comedy, Drama",94,USA,English,Fred Durst,Nick Santora,Cube Vision,"Ice Cube, Keke Palmer, Tasha Smith, Jill Marie Jones, Dash Mihok, Matt Craven, Glenn Plummer, Garrett Morris, Miles Chandler, Malcolm Goodwin, Michael Colyar, Dean Delray, Earthquake, Hugo Perez, Sheran Goodspeed Keyton",5.3,3652,"$11,537,046.00","$13,455,609.12",2000-2009
tt1092026,Paul,2011,2011-02-14,"Adventure, Comedy, Sci-Fi",104,"USA, UK","English, Klingon",Greg Mottola,"Simon Pegg, Nick Frost",Universal Pictures,"Mia Stallard, Simon Pegg, Nick Frost, Jeremy Owen, Jeffrey Tambor, David House, Jennifer Granger, Nelson Ascencio, Bobby Lee, Jane Lynch, David Koechner, Jesse Plemons, Seth Rogen, Jason Bateman, Sigourney Weaver",7.0,224373,"$37,412,945.00","$41,765,333.62",2010-2019
tt1092633,"The Goods: Live Hard, Sell Hard",2009,2009-10-23,Comedy,89,USA,English,Neal Brennan,"Andy Stock, Rick Stempson",Paramount Vantage,"Jeremy Piven, Ving Rhames, James Brolin, David Koechner, Kathryn Hahn, Ed Helms, Jordana Spiro, Tony Hale, Ken Jeong, Rob Riggle, Alan Thicke, Charles Napier, Jonathan Sadowski, Noureen DeWulf, Wendie Malick",5.8,19712,"$15,122,676.00","$17,700,488.97",2000-2009
tt1093357,The Darkest Hour,2011,2012-01-13,"Action, Adventure, Horror",89,"USA, Russia","English, Russian",Chris Gorak,"Jon Spaihts, Leslie Bohem",Summit Entertainment,"Emile Hirsch, Olivia Thirlby, Max Minghella, Rachael Taylor, Joel Kinnaman, Veronika Vernadskaya, Dato Bakhtadze, Yuriy Kutsenko, Nikolay Efremov, Georgiy Gromov, Artur Smolyaninov, Anna Rudakova, Pyotr Fyodorov, Ivan Gromov, Aleksandr Chernykh",4.9,55695,"$21,443,494.00","$23,938,096.32",2010-2019
tt1093908,Confessions of a Shopaholic,2009,2009-02-20,"Comedy, Romance",104,USA,"English, Finnish, Spanish, French",P.J. Hogan,"Tracey Jackson, Tim Firth",Touchstone Pictures,"Isla Fisher, Hugh Dancy, Krysten Ritter, Joan Cusack, John Goodman, John Lithgow, Kristin Scott Thomas, Fred Armisen, Leslie Bibb, Lynn Redgrave, Robert Stanton, Julie Hagerty, Nick Cornish, Wendie Malick, Clea Lewis",5.9,71754,"$44,277,350.00","$51,824,871.82",2000-2009
tt1095174,New in Town,2009,2009-02-27,"Comedy, Romance",97,"USA, Canada","English, Spanish",Jonas Elmer,"Ken Rance, C. Jay Cox",Lionsgate,"Renée Zellweger, Harry Connick Jr., Siobhan Fallon Hogan, J.K. Simmons, Mike O'Brien, Frances Conroy, Ferron Guerreiro, James Durham, Robert Small, Wayne Nicklas, Hilary Carroll, Nancy Drake, Stewart J. Zully, Marilyn Boyle, Dan Augusta",5.6,20565,"$16,734,283.00","$19,586,810.67",2000-2009
tt1097013,Next Day Air,2009,2009-05-08,"Action, Comedy, Crime",84,USA,"English, French",Benny Boom,Blair Cobbs,A-Mark Entertainment,"Donald Faison, Mike Epps, Wood Harris, Omari Hardwick, Emilio Rivera, Darius McCrary, Cisco Reyes, Yasmin Deliz, Lobo Sebastian, Malik Barnhardt, Yasiin Bey, Debbie Allen, Lauren London, Jo D. Jonz, Shawn Michael Howard",5.8,9948,"$10,027,047.00","$11,736,258.51",2000-2009
