Season,1980-1989,1990-1999,2000-2009,2010-2019
Autumn,103.37368421052632,106.94541910331384,107.25426621160409,107.52396166134186
Spring,103.70093457943925,107.05725971370143,106.2135231316726,106.82226980728052
Summer,102.75816993464052,104.60957178841309,106.64562118126273,107.56225680933852
Winter,105.29206349206349,107.41602067183463,109.90203327171903,112.19912472647702
