Decade,Action,Adventure,Comedy,Crime,Drama,Romance,Thriller
1970-1979,7.167832167832168,6.8181818181818175,15.209790209790212,6.643356643356643,23.95104895104895,6.993006993006993,6.643356643356643
1980-1989,8.815958815958815,5.727155727155727,18.53281853281853,8.14028314028314,21.042471042471043,7.882882882882883,5.598455598455598
1990-1999,7.773205304069501,5.098308184727938,19.021490626428896,8.756287151348879,23.845450388660268,8.802011888431641,5.989940557841793
2000-2009,8.041765891188863,5.9717897050741895,17.80545887525188,7.6204433046345486,22.53159919399157,9.48891738413629,5.202418025279355
2010-2019,10.306627101879327,6.449060336300692,15.885262116716122,5.855588526211672,23.303659742828884,6.9238377843719086,6.805143422354106
